Timestamp,Activity,wait_time
6,5,0.0
9,1,3.0
10,1,1.0
13,1,3.0
14,1,1.0
17,1,3.0
20,1,3.0
28,1,8.0
34,1,6.0
44,1,10.0
47,1,3.0
51,1,4.0
55,1,4.0
61,1,6.0
65,1,4.0
71,1,6.0
77,2,6.0
84,1,7.0
92,1,8.0
102,1,10.0
103,1,1.0
113,2,10.0
123,1,10.0
125,1,2.0
133,2,8.0
137,2,4.0
141,1,4.0
142,1,1.0
144,1,2.0
146,2,2.0
148,2,2.0
149,2,1.0
152,2,3.0
158,2,6.0
164,2,6.0
166,2,2.0
174,3,8.0
178,2,4.0
188,2,10.0
194,2,6.0
204,2,10.0
214,3,10.0
224,3,10.0
230,3,6.0
236,3,6.0
239,3,3.0
247,3,8.0
252,3,5.0
254,3,2.0
257,3,3.0
266,4,9.0
273,3,7.0
279,4,6.0
283,4,4.0
286,4,3.0
289,3,3.0
298,5,9.0
305,4,7.0
308,3,3.0
316,4,8.0
319,4,3.0
326,5,7.0
334,4,8.0
341,5,7.0
350,4,9.0
356,5,6.0
362,5,6.0
371,5,9.0
375,6,4.0
383,5,8.0
392,5,9.0
401,6,9.0
409,6,8.0
413,7,4.0
419,6,6.0
427,7,8.0
429,6,2.0
439,7,10.0
442,7,3.0
444,7,2.0
449,6,5.0
457,7,8.0
467,7,10.0
471,7,4.0
476,8,5.0
477,7,1.0
480,8,3.0
485,8,5.0
489,8,4.0
494,9,5.0
504,10,10.0
509,9,5.0
513,9,4.0
517,9,4.0
524,8,7.0
528,9,4.0
536,10,8.0
540,10,4.0
546,10,6.0
551,10,5.0
553,9,2.0
560,11,7.0
566,11,6.0
571,11,5.0
576,10,5.0
578,12,2.0
582,12,4.0
592,11,10.0
600,12,8.0
608,13,8.0
615,14,7.0
624,13,9.0
630,12,6.0
636,12,6.0
641,13,5.0
642,13,1.0
647,13,5.0
653,13,6.0
663,13,10.0
673,14,10.0
678,14,5.0
687,14,9.0
690,15,3.0
695,15,5.0
703,15,8.0
712,15,9.0
714,16,2.0
720,15,6.0
725,16,5.0
730,15,5.0
739,17,9.0
740,17,1.0
748,18,8.0
753,18,5.0
754,18,1.0
755,18,1.0
761,19,6.0
771,18,10.0
781,19,10.0
785,19,4.0
788,19,3.0
791,19,3.0
800,20,9.0
809,19,9.0
818,19,9.0
827,20,9.0
835,21,8.0
845,21,10.0
849,21,4.0
857,21,8.0
858,23,1.0
862,21,4.0
872,22,10.0
875,22,3.0
880,23,5.0
890,23,10.0
893,22,3.0
900,22,7.0
910,24,10.0
917,24,7.0
920,24,3.0
926,24,6.0
930,25,4.0
937,25,7.0
945,25,8.0
947,25,2.0
949,26,2.0
953,27,4.0
957,26,4.0
967,27,10.0
975,27,8.0
977,27,2.0
978,27,1.0
988,27,10.0
991,28,3.0
994,28,3.0
999,28,5.0
1002,29,3.0
1006,29,4.0
1016,29,10.0
1026,28,10.0
1028,29,2.0
1029,30,1.0
1030,30,1.0
1036,30,6.0
1040,30,4.0
1048,32,8.0
1050,31,2.0
1055,32,5.0
1063,32,8.0
